neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,instant_bookable,host_identity_verified,distance_to_Brandenburg Gate,distance_to_Reichstag,distance_to_Museum Island,distance_to_Berlin Wall Memorial,distance_to_German Historical Museum,minimum_distance,bedrooms,beds,accommodates,maximum_nights
Pankow,Helmholtzplatz,52.54082,13.41321,Entire home/apt,60,1,1,0.01,1,0,0,0,0,3.639882587485173,3.5228042884638593,2.790377574387073,1.683476728575522,2.98528103639742,1.68,1,2,3,22
Mitte,Wedding Zentrum,52.54659,13.36583,Private room,35,1,3,0.04,1,0,0,0,1,3.4703753865766154,3.190636007610034,4.151927940589596,2.0869124953100373,3.6438621649204053,2.09,1,1,2,1124
Reinickendorf,Ost 1,52.57016,13.3653,Private room,17,6,2,0.03,1,0,0,0,1,6.056623386748957,5.7823785101338645,6.463449958973929,4.246141305784835,6.0962424303722536,4.25,1,1,2,14
Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.514587,13.465455,Private room,38,4,56,0.73,1,12,10,0,1,5.955216108260679,6.075801092633834,4.292213155421838,5.5965431683961535,5.0661258159703415,4.29,0,1,2,1125
Pankow,Prenzlauer Berg Nordwest,52.54335,13.41117,Private room,27,1,8,0.1,1,0,0,0,1,3.770869419203609,3.633669389529698,3.032320409208937,1.6898028806789243,3.169180356618612,1.69,1,1,1,4
Neukölln,Rixdorf,52.47416,13.44836,Entire home/apt,36,90,8,0.11,4,1,0,0,1,6.70337478495244,6.96411671952242,5.66774250621018,7.8521767549009365,6.213903546897302,5.67,0,1,2,1125
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51314,13.46124,Private room,25,10,1,0.01,1,0,0,0,1,5.676903610451724,5.805291795260329,4.018970561524222,5.407826845775396,4.794983037687591,4.02,0,2,2,180
Steglitz - Zehlendorf,Schloßstr.,52.46407,13.31102,Private room,40,14,30,0.39,1,17,2,1,1,7.368550687959665,7.513326893614965,8.525137592986994,9.56467602245658,8.067090335983194,7.37,2,4,4,1125
Pankow,Prenzlauer Berg Nord,52.5474,13.42414,Entire home/apt,62,7,5,0.07,2,0,0,0,1,4.680017883085162,4.564902157172871,3.7294973074038187,2.6754796035642583,4.000901413202274,2.68,4,4,6,21
Pankow,Prenzlauer Berg Süd,52.53778,13.42684,Entire home/apt,50,2,7,0.09,1,0,0,0,1,4.101225397850722,4.044336827133114,2.8815938488671486,2.502907351893757,3.3057183255027516,2.5,1,1,2,3
Treptow - Köpenick,Friedrichshagen,52.44589,13.62913,Entire home/apt,72,3,40,0.53,1,16,2,0,1,18.78690294283985,18.994193162372095,17.304058909618824,19.027239328272465,18.042305278183278,17.3,1,1,2,1125
Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48875,13.4124,Entire home/apt,95,4,4,0.05,1,0,0,0,1,3.860519698961961,4.134402200544727,3.178129246702451,5.378840428598016,3.530461221560132,3.18,2,2,3,1125
Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50401,13.42693,Entire home/apt,49,4,2,0.03,1,0,0,0,1,3.6052669348080313,3.8088885647990356,2.1834655095573168,4.268857806885976,2.8740062165603266,2.18,1,1,2,180
Treptow - Köpenick,Grünau,52.42641,13.56809,Private room,35,2,70,0.95,2,233,36,0,1,16.347240983727183,16.592778825998522,15.090006646209943,17.101962489162723,15.745748633627636,15.09,1,1,2,1125
Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51872,13.46589,Entire home/apt,45,2,4,0.05,1,0,0,0,0,5.987764629862676,6.088433137660627,4.321659759935492,5.452326094650388,5.085191339730081,4.32,1,1,2,1125
Neukölln,Neuköllner Mitte/Zentrum,52.48299,13.42924,Private room,25,2,22,0.32,2,0,0,1,0,5.09178853729335,5.356943815819578,4.166971695812235,6.380854836375019,4.650997692441726,4.17,1,1,2,6
Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51665,13.46558,Entire home/apt,80,2,10,0.86,1,0,10,1,1,5.960783975498442,6.071493738604185,4.294514544861407,5.51441946848401,5.06416614869396,4.29,1,1,2,28
Treptow - Köpenick,Oberschöneweide,52.460548400878906,13.51980972290039,Entire home/apt,130,3,8,0.11,9,10,1,1,1,11.46854399533737,11.701369730674655,10.131841346837101,12.099166359268668,10.81447741449395,10.13,1,1,2,90
Pankow,Prenzlauer Berg Ost,52.52555,13.45582,Entire home/apt,75,3,30,0.39,1,0,0,0,1,5.397333921755226,5.459131139894438,3.764506282088687,4.579194828996898,4.486574041378869,3.76,2,8,9,1124
Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49903,13.44442,Private room,30,180,27,0.4,2,0,0,0,1,4.914780270925053,5.119503942458393,3.4658120991071955,5.449871756767209,4.178064728279181,3.47,1,1,2,10
Tempelhof - Schöneberg,Tempelhof,52.45842,13.379,Entire home/apt,79,30,3,0.06,37,41,2,1,1,6.437443682900619,6.7018893914479865,6.669351842874942,8.572339659333577,6.642658759482589,6.44,1,1,4,1125
Mitte,Moabit West,52.53123,13.34122,Entire home/apt,120,93,273,3.57,4,187,46,0,1,2.988092254125756,2.7575398025984863,4.453409935979933,3.3526721343580075,3.700476162693707,2.76,1,1,2,30
Mitte,Regierungsviertel,52.51037,13.39192,Private room,77,1,208,2.74,1,243,17,0,1,1.1630260942422501,1.4080497654164073,0.9925272890001909,2.7601260298711123,0.8140651153358655,0.81,1,1,1,35
Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.4927,13.42235,Private room,27,14,1,0.01,1,0,0,0,0,4.004770946409557,4.25931260483252,2.991148421455848,5.203617321096873,3.4998452904366335,2.99,1,1,2,14
Mitte,Moabit West,52.52191,13.33149,Private room,60,2,3,0.04,1,0,0,0,1,3.204021218093685,3.056697428796381,4.843474567811974,4.2485548670226825,4.066926580084426,3.06,1,1,4,4
Mitte,Moabit West,52.53023,13.33916,Entire home/apt,83,1,6,0.08,1,0,0,0,0,3.0469681126194783,2.826258325588373,4.545714735814036,3.5070071115306205,3.7860974535072796,2.83,1,1,2,1125
Pankow,Prenzlauer Berg Süd,52.53034,13.43211,Private room,60,15,2,0.03,1,0,0,0,0,4.006707396660537,4.012624949412774,2.5323896911819954,2.8935723776685838,3.126661574981966,2.53,2,3,4,21
Treptow - Köpenick,Alt  Treptow,52.49461,13.44598,Private room,25,3,1,0.01,1,0,0,0,1,5.2206930847370785,5.439726471231054,3.8469555180031376,5.889746644854827,4.529773573470734,3.85,1,2,2,1125
Charlottenburg-Wilm.,Volkspark Wilmersdorf,52.48521,13.32831,Entire home/apt,79,60,5,0.09,37,100,2,0,1,4.819373085889611,4.939570808610187,6.1229597841995504,6.967411867966714,5.582495612298409,4.82,1,2,2,1125
Pankow,Pankow Süd,52.56104,13.40868,Private room,31,1,7,0.09,1,0,0,0,1,5.405628547529749,5.209222975259832,4.959545085387936,3.1415423439025583,4.973639235408748,3.14,3,3,6,14
Pankow,Prenzlauer Berg Nordwest,52.5547,13.40514,Private room,68,3,2,0.03,1,0,0,0,1,4.662543442756985,4.469148154105359,4.239548602234148,2.3996221558107558,4.231516090569764,2.4,1,1,2,14
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50236,13.45193,Entire home/apt,53,1,16,0.21,1,0,0,0,1,5.267248251380569,5.450929592885854,3.7244323787184346,5.556125526601161,4.473772631428282,3.72,1,1,2,6
Pankow,Prenzlauer Berg Ost,52.52782,13.44788,Private room,50,2,13,0.17,1,0,0,0,1,4.92909823506431,4.9718472988824445,3.3334206805545037,3.9979919532575905,4.022880002748682,3.33,1,1,2,1125
Pankow,Blankenburg/Heinersdorf/Märchenland,52.56559,13.43517,Entire home/apt,95,3,21,0.28,1,155,5,0,1,6.72972973464356,6.582006278729137,5.885426988316364,4.557950715865936,6.117454489431523,4.56,1,1,1,1125
Neukölln,Reuterstraße,52.48476,13.43447,Entire home/apt,62,3,4,0.05,1,0,0,0,1,5.2071794933446505,5.464232360891469,4.16558503395747,6.362040524610123,4.7033189707687155,4.17,1,1,1,1125
Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49341,13.39204,Private room,29,7,0,0.0,1,0,0,1,1,2.721553936516833,3.004769184528728,2.677517653403948,4.646597237810468,2.699838111164426,2.68,1,1,3,125
Mitte,Alexanderplatz,52.53726,13.37375,Entire home/apt,100,5,5,0.07,1,8,4,0,1,2.352073618778259,2.0805202583727316,3.0040200976132234,1.1409855750958255,2.474923835878486,1.14,0,1,2,1125
Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.51771,13.43599,Private room,30,3,1,0.01,1,0,0,1,0,3.9551355473443053,4.060086035051201,2.2888811718153264,3.6636912762143816,3.0541951802281,2.29,1,1,2,20
Charlottenburg-Wilm.,Halensee,52.49964,13.29123,Entire home/apt,44,90,6,0.08,11,69,1,0,1,6.160593903291409,6.143572371036451,7.776223015715771,7.794767008454003,7.064622125659039,6.14,1,2,2,50
Pankow,Prenzlauer Berg Süd,52.52727,13.42157,Entire home/apt,55,6,2,0.03,1,0,0,0,1,3.214979303730116,3.2264388411697853,1.762614743045538,2.302062094522945,2.334228241789148,1.76,1,1,2,7
Neukölln,Schillerpromenade,52.46858,13.42589,Private room,35,3,4,0.05,1,0,0,0,0,6.2319720318595255,6.511584251613029,5.5824733301143,7.7941809777479785,5.95389009321548,5.58,1,4,5,1125
Mitte,Moabit West,52.53055,13.34163,Private room,100,5,2,0.03,1,0,0,1,1,2.92321714164198,2.695584918571016,4.400354407331612,3.335889096891588,3.644681743231724,2.7,1,1,2,1125
Pankow,Helmholtzplatz,52.54594,13.41852,Private room,45,3,12,0.16,1,0,0,0,1,4.3068556978011845,4.181926595197013,3.4408276713516224,2.265283460503852,3.6590376141244203,2.27,1,1,4,14
Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50176,13.43061,Entire home/apt,122,1,28,0.38,1,0,5,0,1,3.933743175913238,4.143525210434018,2.536058955592054,4.6183664768408175,3.219510540577514,2.54,1,1,2,1125
Mitte,Brunnenstr. Süd,52.53222,13.3914,Entire home/apt,109,10,2,0.03,1,0,0,0,1,2.001736573932845,1.8313503683988994,1.8854300030657398,0.33617540562894044,1.6199822325508764,0.34,1,2,3,10
Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50412,13.41618,Entire home/apt,130,8,20,0.27,1,0,3,0,0,2.936961637988435,3.157997929061467,1.681290312981796,3.877221431001138,2.2791465733658867,1.68,1,3,4,1125
Neukölln,Rixdorf,52.48159,13.45135,Private room,30,5,1,0.01,1,0,0,1,1,6.313100372877791,6.559606420680264,5.128334059697274,7.263557397426027,5.736892579924338,5.13,3,4,6,1125
Pankow,Prenzlauer Berg Nordwest,52.55475,13.41226,Private room,40,2,4,0.05,1,0,0,1,1,4.880016937134116,4.706262208171809,4.294108981650757,2.644708605809775,4.371754257477433,2.64,2,2,4,17
Mitte,Alexanderplatz,52.52466,13.41118,Entire home/apt,113,4,189,2.49,3,110,17,1,1,2.452339985809713,2.467669509594109,1.0762451589328692,1.8409580659637388,1.5756580114583534,1.08,2,2,4,355
Mitte,Tiergarten Süd,52.49998,13.36816,Private room,19,6,1,0.01,1,0,0,0,1,1.926258286584135,2.145121198857118,2.969128959878773,4.190204681372932,2.505345927530866,1.93,1,1,1,11
Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.51413,13.431,Private room,40,1,4,0.05,1,0,0,0,1,3.6210849171580297,3.7536789694250805,1.9670518594307211,3.6246845307686177,2.7438918640964536,1.97,3,4,6,1125
Pankow,Prenzlauer Berg Südwest,52.53192,13.41782,Entire home/apt,100,6,0,0.0,1,0,0,1,1,3.2282724393628124,3.1889897613637195,1.9995319118076318,1.9080476750961541,2.4146748346609015,1.91,2,2,4,1125
Mitte,Moabit West,52.53927,13.32865,Private room,99,2,92,1.28,1,155,8,1,1,4.203352867277676,3.9612406976309815,5.598011649932054,4.201814121156776,4.866685601916295,3.96,1,2,3,16
Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.50886,13.44552,Entire home/apt,130,5,16,0.21,1,0,0,1,1,4.672518422720918,4.829971795754123,3.058110579886524,4.759840157088862,3.828940949211466,3.06,1,2,2,10
Mitte,Regierungsviertel,52.51352,13.38117,Entire home/apt,265,2,191,2.55,21,304,45,0,0,0.38274138015301196,0.6605865912803595,1.4770570392722688,2.4840506200376975,0.8110362390711655,0.38,1,1,2,6
Mitte,Regierungsviertel,52.51438,13.38217,Entire home/apt,225,2,164,2.21,25,327,20,0,1,0.36478014707804846,0.622318487120912,1.3907014834857543,2.3749302549760625,0.7019222806206525,0.36,2,3,4,90
Mitte,Regierungsviertel,52.51333,13.37998,Entire home/apt,220,2,264,3.48,25,284,57,0,1,0.35936999739108927,0.6425155590997669,1.5605527585177437,2.525537083541269,0.8899725302259679,0.36,1,2,2,1125
Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.49955,13.42706,Entire home/apt,110,8,73,0.95,1,2,24,0,1,3.828588165773163,4.0534018908417995,2.5374604374974195,4.685496470499514,3.1714485944872317,2.54,1,1,2,21
Neukölln,Rixdorf,52.47902,13.44875,Entire home/apt,100,5,16,0.21,1,0,1,0,1,6.357045490608081,6.610414257469025,5.241015450993154,7.403809136429156,5.820172939496487,5.24,2,2,4,1125
Neukölln,Reuterstraße,52.49395,13.42457,Private room,43,4,12,0.16,1,0,0,0,1,4.032742055253595,4.280865697113825,2.942444137378665,5.144235420834425,3.48710078147009,2.94,1,1,2,1125
Neukölln,Reuterstraße,52.48305,13.43318,Entire home/apt,120,2,0,0.0,1,0,0,0,0,5.2743533908868,5.535615643297639,4.28528452449915,6.490558173646867,4.800167956455978,4.29,1,3,5,30
Charlottenburg-Wilm.,Barstraße,52.4893,13.31117,Private room,40,3,176,2.34,2,253,47,1,1,5.427757765010792,5.490457766295292,6.896746803530024,7.4044382849464405,6.2726431891521655,5.43,1,1,2,21
Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49123,13.4066,Entire home/apt,178,3,1,0.01,1,0,0,0,1,3.4047908823345434,3.6814705459270636,2.8424570825637243,5.012635403275179,3.1264637914959383,2.84,1,1,2,20
Charlottenburg-Wilm.,Otto-Suhr-Allee,52.51184,13.3096,Private room,37,2,308,4.03,1,64,49,0,1,4.65443478776933,4.583695003898399,6.3170877589707155,6.054895195426371,5.5637799853677,4.58,1,1,2,1125
Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49412,13.43446,Private room,25,2,3,0.04,1,0,0,0,1,4.5703454989783445,4.804632852327299,3.323122442311545,5.465662929874086,3.9462649545450903,3.32,1,1,1,10
Mitte,Moabit Ost,52.52768,13.35576,Entire home/apt,100,3,5,0.07,1,0,0,0,0,1.961154886905018,1.7146771382718105,3.3905630919469205,2.481039831704366,2.6387281002096916,1.71,1,1,1,1125
Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.51112,13.44994,Entire home/apt,110,5,9,0.12,1,0,0,0,1,4.932570822044252,5.0752910287472615,3.2908369387197194,4.8569278464700085,4.067177755248786,3.29,1,1,2,7
Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.51158,13.44846,Entire home/apt,45,90,15,0.21,1,194,1,0,1,4.826965917553963,4.967856831228159,3.1827130026835486,4.744887275509661,3.9592745153478526,3.18,1,1,2,1125
Steglitz - Zehlendorf,Zehlendorf  Nord,52.44886,13.24891,Private room,35,2,194,2.75,1,179,13,1,1,11.528464934986152,11.620690350220684,12.86489891990697,13.576072357101353,12.32058083052616,11.53,1,1,2,6
Tempelhof - Schöneberg,Tempelhof,52.45781,13.39177,Entire home/apt,30,2,2,0.03,1,0,0,1,1,6.573888932509221,6.849238018367801,6.585498067040308,8.60702312258058,6.660556121039739,6.57,0,2,4,200
Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49137,13.38627,Private room,29,5,0,0.0,1,0,0,0,0,2.829768743867817,3.1087914214347725,3.0157354417022506,4.879255818406888,2.9434760497031176,2.83,3,5,5,29
Neukölln,Schillerpromenade,52.48107,13.4241,Private room,20,2,0,0.0,2,0,0,0,1,5.023594827137593,5.295706419600588,4.225504799287339,6.44309000331505,4.651364716944865,4.23,4,5,7,11
Neukölln,Reuterstraße,52.48972,13.42674,Private room,30,1,3,0.04,1,0,0,1,1,4.447636793433054,4.703483773117585,3.42398900486604,5.631210243777696,3.9445745684595668,3.42,1,1,2,1125
Mitte,Moabit Ost,52.52435,13.34937,Private room,25,1,2,0.03,1,0,0,1,1,2.127625801964313,1.9293003537202718,3.695022011097447,3.0207626344551204,2.9219276499851228,1.93,2,2,4,200
Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50463,13.37896,Private room,45,3,256,3.42,1,193,11,0,1,1.2973166707731354,1.5683504097240266,2.0738925496262275,3.481133812699439,1.6648094057041263,1.3,1,1,2,16
Tempelhof - Schöneberg,Schöneberg-Süd,52.48387,13.36094,Private room,30,1,3,0.04,1,0,0,1,0,3.7818697249600572,4.003606837565303,4.603609153352421,6.042559506767303,4.278764072715449,3.78,1,1,2,4
Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.5164,13.46315,Private room,39,3,26,0.34,1,0,0,1,1,5.7957062345407175,5.907765026457123,4.129652952882109,5.372530974727625,4.899984410864623,4.13,3,4,6,1125
Neukölln,Reuterstraße,52.48741,13.42868,Private room,18,4,22,0.29,1,0,0,1,0,4.718071725662237,4.976397274134206,3.7127152603978137,5.92002641494974,4.2286512043333975,3.71,2,3,4,14
Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.52241,13.45147,Entire home/apt,185,3,232,3.07,9,345,31,0,1,5.04895207927577,5.126707847074423,3.3976634960646113,4.392856760775945,4.138634787770863,3.4,3,7,12,7
Mitte,Tiergarten Süd,52.50213,13.3571,Private room,40,5,25,0.33,1,251,5,1,1,2.108289104628361,2.247127761327027,3.4688051577773535,4.307312366428193,2.8783502616466503,2.11,1,1,1,28
Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.52241,13.45147,Entire home/apt,212,3,224,2.99,9,334,36,1,1,5.04895207927577,5.126707847074423,3.3976634960646113,4.392856760775945,4.138634787770863,3.4,3,2,4,1125
Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51943,13.45537,Private room,25,2,3,0.04,1,0,0,0,0,5.2791139431517,5.37501761408971,3.614656752106498,4.756028762522159,4.374094254272262,3.61,1,2,2,20
Mitte,Regierungsviertel,52.51443,13.38038,Entire home/apt,260,2,248,3.27,25,268,56,1,1,0.27021185146120535,0.5461661694444233,1.5094572299171884,2.400393775491165,0.8056495525232149,0.27,2,3,4,1125
Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51527,13.4621,Private room,70,2,131,1.74,1,59,34,0,0,5.7255539848187365,5.843305577428497,4.061201983606068,5.357680390160656,4.8340948854233785,4.06,10,1,10,1
Mitte,Regierungsviertel,52.51462,13.38047,Entire home/apt,230,2,189,2.5,21,294,43,0,1,0.2588832142288701,0.5315268065851587,1.5001128806054123,2.3783859901359414,0.7909034566948498,0.26,1,1,2,1125
Tempelhof - Schöneberg,Schöneberg-Süd,52.48132,13.34834,Entire home/apt,130,3,13,0.17,1,0,0,0,1,4.372390373276395,4.561747590201862,5.3744680207128,6.630506133216468,4.974758590566489,4.37,1,1,1,79
Pankow,Prenzlauer Berg Nord,52.55314,13.41933,Private room,59,1,36,0.47,1,0,0,0,1,4.978737505539588,4.828944087930543,4.222488050536006,2.8125755517549957,4.390915386232905,2.81,1,1,2,14
Pankow,Prenzlauer Berg Ost,52.53491,13.43944,Entire home/apt,120,4,286,3.79,1,31,43,0,1,4.671245050031606,4.659122596056417,3.237447005976529,3.3409428091737587,3.806858157084006,3.24,1,1,2,1125
Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.52268,13.45381,Private room,40,2,3,0.04,1,0,0,0,0,5.2103885601978766,5.287486800241955,3.5593082821659188,4.534153180208872,4.300005481005502,3.56,1,1,1,5
Neukölln,Reuterstraße,52.4906,13.43263,Private room,25,7,3,0.05,2,50,0,0,1,4.6938249853076135,4.940384923886833,3.554304936112183,5.733533383791734,4.130557353683558,3.55,1,1,2,60
Mitte,Wedding Zentrum,52.54139,13.35836,Private room,25,7,0,0.0,1,0,0,0,1,3.090668261517393,2.8078162587417905,4.060150885597086,2.269550749964828,3.4462401385741077,2.27,1,1,2,1125
Pankow,Pankow Zentrum,52.56345,13.40164,Private room,25,2,2,0.03,1,0,0,0,1,5.4945266608441985,5.2784647328281675,5.209107125251645,3.2430530506439883,5.145863748264247,3.24,1,2,4,1125
Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49432,13.39867,Entire home/apt,210,4,3,0.04,1,0,0,0,1,2.824323800780249,3.1051273862015787,2.4960228162285607,4.579855360676187,2.6493688483822084,2.5,1,1,2,30
Pankow,Prenzlauer Berg Nord,52.55264,13.42564,Entire home/apt,48,5,1,0.01,1,0,0,0,1,5.189653882137544,5.058069752234931,4.307254326372511,3.092879947012094,4.546826950925855,3.09,1,2,4,1125
Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.49943,13.414,Entire home/apt,40,1,1,0.01,1,0,0,1,0,3.091849162423066,3.338997591154135,2.0728382372374936,4.290676686756253,2.560480665797576,2.07,3,3,6,1125
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50984,13.46468,Private room,20,3,0,0.0,1,0,0,0,1,5.943164772564371,6.085882312653261,4.30083387096742,5.786724674995575,5.077401557516153,4.3,2,3,4,45
Neukölln,Rudow,52.41253,13.50654,Private room,30,3,88,1.17,3,172,5,1,1,14.485778895686297,14.759574612659032,13.578886613027258,15.769344489628716,14.090038940009668,13.58,1,2,4,90
Tempelhof - Schöneberg,Tempelhof,52.45474,13.38148,Private room,35,7,89,1.21,1,13,9,1,1,6.85102635102937,7.117731516488813,7.031973678141105,8.967590108662046,7.0317563248506625,6.85,3,4,6,1125
Neukölln,Rixdorf,52.48257,13.44317,Private room,27,2,8,0.11,1,0,0,1,1,5.812252945941235,6.06461517226649,4.697862539218117,6.867889292525258,5.272860711156725,4.7,2,2,4,1125
Tempelhof - Schöneberg,Schöneberg-Nord,52.50099,13.34863,Private room,135,4,1,0.01,1,0,0,0,0,2.60872020597771,2.7117165578099582,4.039865086482609,4.734583449116939,3.4230872395547816,2.61,1,1,2,7
Tempelhof - Schöneberg,Schöneberg-Nord,52.49633,13.34968,Private room,62,5,89,1.18,1,339,26,0,0,2.925843853511346,3.065256529326877,4.228732966410164,5.121641831087656,3.6751126335450315,2.93,4,4,7,1125
Mitte,Alexanderplatz,52.5249,13.39964,Private room,55,3,50,0.69,1,0,0,0,1,1.7679977846448138,1.7377261736440865,0.9369523534908535,1.308187141336975,0.9962159406525499,0.94,1,1,2,3
Mitte,Brunnenstr. Süd,52.5346,13.38081,Private room,30,5,1,0.02,1,0,0,1,1,2.0505309290413685,1.8052222119774664,2.474889041441311,0.6405315716138877,2.007437630168682,0.64,2,2,4,360
Mitte,Alexanderplatz,52.50999,13.41652,Entire home/apt,237,5,230,3.09,2,205,57,0,0,2.7215293627454633,2.9010599010175,1.215406249612103,3.3211186760693523,1.931664819272754,1.22,1,2,4,1125
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51324,13.45448,Private room,30,99,0,0.0,1,0,0,0,1,5.218185997095211,5.347879316274634,3.561286733354699,4.997644483757289,4.337592203701539,3.56,1,2,2,1125
Pankow,Prenzlauer Berg Südwest,52.53802,13.41835,Entire home/apt,113,3,150,2.01,1,69,21,0,1,3.6664856609068632,3.583652962773644,2.6161118418545257,1.936162563096333,2.9286232906379888,1.94,2,2,4,30
Neukölln,Köllnische Heide,52.46955,13.45443,Entire home/apt,142,3,139,1.84,15,335,9,1,1,7.35737593210134,7.619183890734297,6.323433476598328,8.503536970616029,6.872151728584949,6.32,3,3,6,1125
Mitte,Regierungsviertel,52.51269,13.37885,Entire home/apt,265,2,161,2.16,21,272,19,1,1,0.40456378333107257,0.6843140955935548,1.6527081730715636,2.6156525936399673,0.9932101718464309,0.4,1,1,2,1125
Tempelhof - Schöneberg,Schöneberg-Süd,52.48454,13.35668,Private room,30,3,1,0.01,1,0,0,0,1,3.8099493615529307,4.017578659579778,4.729102587708501,6.07455348718852,4.360879847008938,3.81,1,1,1,5
Pankow,Prenzlauer Berg Südwest,52.53724,13.41433,Entire home/apt,50,8,3,0.04,1,0,0,1,1,3.406222703942291,3.314969439650673,2.432964175872082,1.6533283861322512,2.6930894180276606,1.65,1,1,2,7
Mitte,Brunnenstr. Nord,52.54003,13.39647,Private room,39,2,6,0.08,1,0,0,1,1,2.9330199220812965,2.7508521617773893,2.6328631149124995,0.6894146000308239,2.516382998729682,0.69,1,3,5,10
Mitte,Osloer Straße,52.55675,13.38999,Private room,29,2,1,0.01,1,0,0,1,0,4.58057062248558,4.344660860180934,4.541051711799823,2.403420478678829,4.349931538458603,2.4,1,1,2,30
Mitte,Regierungsviertel,52.51397,13.38256,Entire home/apt,220,2,243,3.21,25,283,51,0,1,0.413275536865528,0.6742500824135945,1.3738165113250944,2.4135279868681705,0.7050476719883778,0.41,1,1,1,6
Neukölln,Neuköllner Mitte/Zentrum,52.47601,13.43022,Entire home/apt,70,3,15,0.2,1,64,5,1,1,5.723050445672161,5.995467093715415,4.902244998762436,7.119942731373006,5.346027632513545,4.9,5,7,12,89
Charlottenburg-Wilm.,Wiesbadener Straße,52.47341,13.31587,Hotel room,129,3,5,0.1,9,336,3,0,1,6.357655461991821,6.488455498913197,7.590374001682522,8.525392309167383,7.0912184361097985,6.36,3,4,6,60
Pankow,Prenzlauer Berg Nordwest,52.55214,13.41324,Private room,25,5,0,0.0,1,0,0,0,1,4.66126317256189,4.497589260876506,4.019272799629051,2.4526658743816516,4.122603697731086,2.45,1,1,2,1125
Mitte,Regierungsviertel,52.51398,13.38121,Entire home/apt,260,2,220,2.9,25,305,34,0,1,0.34509020617055597,0.6186280784438927,1.4632031638951695,2.433797275100425,0.7807502081349572,0.35,1,1,1,1125
Neukölln,Reuterstraße,52.49321,13.42562,Entire home/apt,65,2,0,0.0,1,0,0,1,1,4.139699273654161,4.388435189289177,3.0497799345497767,5.250026658002258,3.5960348222513363,3.05,0,2,4,1125
Pankow,Prenzlauer Berg Südwest,52.53636,13.40876,Entire home/apt,95,3,2,0.03,1,0,0,0,0,3.0695424929741404,2.9629905738206803,2.2375209154268396,1.266139948881319,2.4044589520304083,1.27,1,1,2,20
Neukölln,Rixdorf,52.47674,13.44683,Private room,38,3,22,0.29,1,0,0,0,1,6.429661444356396,6.688151591616693,5.371397174241208,7.551922097826254,5.925850345056274,5.37,1,1,2,1125
Neukölln,Neuköllner Mitte/Zentrum,52.48003,13.42605,Private room,20,4,16,0.21,1,0,0,0,1,5.196867767461304,5.468498662332281,4.381072918184839,6.598998421892241,4.817068301512247,4.38,1,1,2,1125
Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49345,13.43325,Private room,35,2,0,0.0,1,0,0,0,1,4.542637488032632,4.7805390742217355,3.327243459271989,5.483900481316764,3.9358819549530675,3.33,1,1,1,1125
Neukölln,Reuterstraße,52.48462,13.43602,Entire home/apt,70,2,1,0.01,1,0,0,0,1,5.295833286593317,5.551544102970579,4.234810220330257,6.4260532154333445,4.7820611689132475,4.23,1,1,2,8
Mitte,Alexanderplatz,52.51024,13.41684,Entire home/apt,154,5,237,3.14,2,267,46,0,1,2.7355732934288413,2.9125310273416525,1.216212660546997,3.309510304568334,1.9391564248581075,1.22,1,1,2,1125
