neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,instant_bookable,host_identity_verified,distance_to_Brandenburg Gate,distance_to_Reichstag,distance_to_Museum Island,distance_to_Berlin Wall Memorial,distance_to_German Historical Museum,minimum_distance,bedrooms,beds,accommodates,maximum_nights
Pankow,Helmholtzplatz,52.54419,13.41956,Entire home/apt,274,1,196,1.33,1,347,9,0,1,4.2067173993688485,4.093071563315779,3.281402911589367,2.2311712334202456,3.531255847079556,2.23,2,2,4,365
Pankow,Prenzlauer Berg Südwest,52.53243,13.41645,Entire home/apt,45,28,14,0.1,1,0,0,0,1,3.1821025110758354,3.134331644507634,2.0018248568859383,1.8064447705299387,2.3841128565796987,1.81,1,3,4,360
Pankow,Prenzlauer Berg Ost,52.53822,13.45771,Entire home/apt,115,3,94,0.74,1,275,5,0,0,5.949732066855706,5.946233579068258,4.460852656357498,4.593101008889646,5.072576072848469,4.46,1,1,2,365
Pankow,Prenzlauer Berg Nordwest,52.54804,13.40349,Entire home/apt,70,93,34,0.24,4,130,1,1,1,3.942909781647779,3.761035503262845,3.4950167957767877,1.6938295260202787,3.4848396241149797,1.69,0,2,3,365
Pankow,Helmholtzplatz,52.54367,13.42431,Entire home/apt,95,92,78,0.54,3,198,1,0,1,4.3900365178100165,4.292835364818097,3.3577472538572515,2.5005513585086843,3.6722047198397716,2.5,2,4,8,91
Mitte,Brunnenstr. Süd,52.53008,13.39961,Entire home/apt,80,4,79,0.59,1,0,0,0,1,2.135270105051387,2.037256680356752,1.5068188592451646,0.8519321902487993,1.5001803809976442,0.85,0,1,1,1125
Neukölln,Buckow Nord,52.43973,13.46044,Entire home/apt,52,3,35,0.28,2,231,9,0,1,10.201937954946422,10.479941286255364,9.42543444950851,11.64083356506482,9.872578758340081,9.43,2,3,3,180
Pankow,Helmholtzplatz,52.54596,13.42291,Entire home/apt,120,4,360,2.46,4,295,46,0,0,4.505547677659943,4.393400160913656,3.549320780627433,2.5238742035253816,3.8215333245236063,2.52,1,1,2,20
Mitte,Alexanderplatz,52.51398,13.40711,Private room,55,1,40,0.4,1,0,0,0,1,2.007643903136169,2.161131875809851,0.439821234251303,2.620475563466084,1.1680764766424314,0.44,2,4,5,360
Charlottenburg-Wilm.,Düsseldorfer Straße,52.49546,13.30858,Entire home/apt,62,61,0,0.0,3,77,0,0,1,5.23788709371416,5.2652494496030675,6.7872387225851405,7.086211305421914,6.117367319628587,5.24,1,1,2,5
Mitte,Brunnenstr. Süd,52.5349,13.39857,Private room,80,2,25,0.18,1,257,5,1,1,2.508296104906512,2.363493117235151,2.047784934760941,0.5682420296122492,1.9856322007450657,0.57,2,4,8,365
Pankow,Pankow Süd,52.57243,13.42076,Entire home/apt,48,183,30,0.23,2,89,0,0,1,6.896673824484407,6.707417138808842,6.3329972934276215,4.637080723155495,6.4199967506624045,4.64,1,1,2,1125
Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49188,13.42081,Private room,63,2,573,4.24,2,68,55,0,1,3.987874552372899,4.246435227005336,3.0278599661834638,5.244307670157335,3.511406675567457,3.03,0,1,2,800
Tempelhof - Schöneberg,Schöneberg-Nord,52.49376,13.36408,Private room,37,10,27,0.18,1,269,2,0,1,2.6714737896022016,2.886441634168573,3.636444006155554,4.935673286564529,3.2274067042583185,2.67,2,4,4,365
Pankow,Pankow Süd,52.55527,13.42104,Entire home/apt,75,3,0,0.0,1,0,0,0,1,5.239900698393271,5.088012056387621,4.482438440322093,3.0638728170882112,4.654792946529588,3.06,1,1,4,1125
Mitte,Regierungsviertel,52.50906,13.39374,Entire home/apt,19,5,8,0.11,1,0,0,1,1,1.3482467762859627,1.5970785379393284,1.0249911626468455,2.913338049549461,0.9753571401549017,0.98,1,1,2,120
Charlottenburg-Wilm.,Halensee,52.49787,13.29706,Entire home/apt,99,93,3,0.04,2,364,0,0,1,5.850319951895748,5.848511327966552,7.445869427725591,7.562669534573891,6.74783626401732,5.85,2,4,4,730
Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48968,13.41993,Private room,53,3,50,0.39,2,0,0,0,1,4.116605245696149,4.380773556534349,3.2296198960898153,5.447550824948021,3.681920572344373,3.23,1,1,2,28
Lichtenberg,Karlshorst,52.4766,13.50838,Entire home/apt,70,3,56,0.43,4,335,7,0,1,9.907662876854479,10.121913370510306,8.469854043984379,10.336274823202167,9.188695890479211,8.47,1,1,2,10
Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.52023,13.44703,Entire home/apt,85,3,216,1.63,1,93,22,0,1,4.721824154259151,4.811421228259382,3.0613094027420487,4.198789674837384,3.8142129843429555,3.06,1,1,2,730
Pankow,Prenzlauer Berg Südwest,52.5378,13.41287,Private room,43,15,70,0.48,1,0,0,0,1,3.3786378650603184,3.278411865810565,2.4611260593076847,1.565818839971815,2.687766290321292,1.57,1,1,1,60
Steglitz - Zehlendorf,Zehlendorf  Nord,52.43399,13.23025,Entire home/apt,300,183,9,0.08,4,363,0,1,1,13.575842905975385,13.675993953612009,14.875510024425655,15.646041826637022,14.352445196738719,13.58,1,1,1,365
Pankow,Prenzlauer Berg Süd,52.53163,13.42152,Private room,49,1,1,0.01,1,0,0,0,1,3.4261665524750895,3.399579782844403,2.116829057250344,2.1607698706303293,2.5897367086063214,2.12,4,11,16,730
Pankow,Prenzlauer Berg Südwest,52.5387,13.41346,Entire home/apt,89,3,247,1.85,1,258,0,0,0,3.478135204922731,3.3743488576809955,2.568607910514068,1.6265063566234699,2.793448928076834,1.63,2,6,4,60
Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51099,13.45642,Entire home/apt,139,4,188,1.33,1,245,19,0,0,5.371330419612003,5.511901416531903,3.7263494943340842,5.237110254112143,4.503042793044086,3.73,2,4,4,730
Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50301,13.41506,Entire home/apt,76,3,107,0.95,1,0,1,0,1,2.9298928633458297,3.159117589563636,1.7460892701763429,3.954607390299209,2.3082282548081285,1.75,1,1,2,14
